url,datum,zavod_nazev,misto_konani,gps_zavod,scraped_at
https://oris.orientacnisporty.cz/Zavod?id=9057,27.09.2025,Oblastní žebříček,Kunčice pod Ondřejníkem,"49.53729,18.28342",2025-10-01 13:30:28
https://oris.orientacnisporty.cz/Zavod?id=8833,27.09.2025,Oblastní žebříček,Tužín,"50.466929195111,15.437550544739",2025-10-01 13:30:28
https://oris.orientacnisporty.cz/Zavod?id=9097,27.09.2025,Oblastní žebříček,"louka u obce Krásná Studánka, GPS: 50.8140569N, 15.0202117E","50.814015880185,15.020542144775",2025-10-01 13:30:28
https://oris.orientacnisporty.cz/Zavod?id=8992,27.09.2025,Oblastní žebříček,Ochoz u Brna,"49.250618029959,16.761918067932",2025-10-01 13:30:28
